"cond" "item" "RT" "correct" "subj" "prime" "target"
"EE" "57" 1000 FALSE 1 "E" "E"
"EE" "53" 775 TRUE 1 "E" "E"
"DD" "7" 781 TRUE 1 "D" "D"
"ED" "98" 1000 FALSE 1 "E" "D"
"ED" "3" 772 TRUE 1 "E" "D"
"DD" "32" 1000 FALSE 1 "D" "D"
"DD" "17" 833 TRUE 1 "D" "D"
"EE" "10" 584 TRUE 1 "E" "E"
"ED" "15" 514 TRUE 1 "E" "D"
"DE" "18" 670 TRUE 1 "D" "E"
"ED" "99" 1000 FALSE 1 "E" "D"
"DD" "14" 520 TRUE 1 "D" "D"
"DE" "75" 1000 FALSE 1 "D" "E"
"ED" "85" 969 TRUE 1 "E" "D"
"DE" "6" 856 FALSE 1 "D" "E"
"DD" "28" 993 TRUE 1 "D" "D"
"DE" "15" 429 TRUE 1 "D" "E"
"DE" "10" 545 TRUE 1 "D" "E"
"EE" "52" 735 TRUE 1 "E" "E"
"DE" "13" 835 TRUE 1 "D" "E"
"ED" "89" 765 TRUE 1 "E" "D"
"DD" "3" 546 TRUE 1 "D" "D"
"EE" "47" 625 TRUE 1 "E" "E"
"EE" "54" 599 TRUE 1 "E" "E"
"DE" "77" 874 FALSE 1 "D" "E"
"DD" "21" 734 TRUE 1 "D" "D"
"DD" "25" 1000 FALSE 1 "D" "D"
"EE" "19" 715 TRUE 1 "E" "E"
"DE" "78" 1000 FALSE 1 "D" "E"
"DD" "40" 1000 FALSE 1 "D" "D"
"DE" "3" 633 TRUE 1 "D" "E"
"EE" "58" 931 TRUE 1 "E" "E"
"DE" "69" 1000 FALSE 1 "D" "E"
"ED" "18" 580 TRUE 1 "E" "D"
"ED" "81" 941 TRUE 1 "E" "D"
"EE" "59" 1000 FALSE 1 "E" "E"
"ED" "2" 530 TRUE 1 "E" "D"
"ED" "14" 614 TRUE 1 "E" "D"
"DD" "35" 844 TRUE 1 "D" "D"
"DD" "30" 1000 FALSE 1 "D" "D"
"EE" "42" 1000 FALSE 1 "E" "E"
"DD" "1" 517 TRUE 1 "D" "D"
"DD" "36" 854 TRUE 1 "D" "D"
"ED" "95" 1000 FALSE 1 "E" "D"
"DE" "66" 1000 FALSE 1 "D" "E"
"ED" "17" 547 TRUE 1 "E" "D"
"EE" "11" 394 TRUE 1 "E" "E"
"EE" "18" 447 TRUE 1 "E" "E"
"DD" "27" 743 TRUE 1 "D" "D"
"DE" "1" 559 TRUE 1 "D" "E"
"DD" "23" 708 TRUE 1 "D" "D"
"ED" "97" 848 TRUE 1 "E" "D"
"EE" "17" 602 TRUE 1 "E" "E"
"ED" "5" 673 TRUE 1 "E" "D"
"EE" "50" 1000 FALSE 1 "E" "E"
"EE" "3" 534 TRUE 1 "E" "E"
"ED" "93" 742 TRUE 1 "E" "D"
"DD" "31" 577 TRUE 1 "D" "D"
"EE" "5" 469 TRUE 1 "E" "E"
"DE" "14" 601 TRUE 1 "D" "E"
"DD" "37" 605 TRUE 1 "D" "D"
"ED" "91" 753 TRUE 1 "E" "D"
"DE" "72" 701 TRUE 2 "D" "E"
"DE" "18" 771 TRUE 2 "D" "E"
"ED" "2" 516 TRUE 2 "E" "D"
"DD" "17" 627 TRUE 2 "D" "D"
"DE" "20" 651 TRUE 2 "D" "E"
"EE" "54" 555 TRUE 2 "E" "E"
"ED" "7" 522 TRUE 2 "E" "D"
"DE" "77" 832 TRUE 2 "D" "E"
"EE" "6" 717 TRUE 2 "E" "E"
"EE" "41" 650 TRUE 2 "E" "E"
"EE" "43" 717 TRUE 2 "E" "E"
"DD" "9" 518 TRUE 2 "D" "D"
"DE" "62" 737 TRUE 2 "D" "E"
"DD" "5" 462 TRUE 2 "D" "D"
"ED" "84" 564 FALSE 2 "E" "D"
"ED" "6" 587 TRUE 2 "E" "D"
"DE" "9" 551 TRUE 2 "D" "E"
"EE" "60" 714 TRUE 2 "E" "E"
"ED" "4" 509 TRUE 2 "E" "D"
"EE" "57" 604 TRUE 2 "E" "E"
"EE" "10" 454 TRUE 2 "E" "E"
"ED" "16" 580 TRUE 2 "E" "D"
"EE" "44" 588 TRUE 2 "E" "E"
"EE" "58" 576 TRUE 2 "E" "E"
"DE" "6" 501 TRUE 2 "D" "E"
"DE" "76" 528 TRUE 2 "D" "E"
"EE" "59" 594 TRUE 2 "E" "E"
"EE" "53" 539 TRUE 2 "E" "E"
"DE" "13" 509 FALSE 2 "D" "E"
"DE" "80" 520 TRUE 2 "D" "E"
"DD" "11" 461 TRUE 2 "D" "D"
"DE" "71" 514 TRUE 2 "D" "E"
"DD" "3" 484 TRUE 2 "D" "D"
"EE" "48" 593 TRUE 2 "E" "E"
"ED" "8" 534 TRUE 2 "E" "D"
"DE" "5" 476 FALSE 2 "D" "E"
"DE" "65" 595 TRUE 2 "D" "E"
"DE" "11" 398 TRUE 2 "D" "E"
"EE" "5" 498 TRUE 2 "E" "E"
"DD" "32" 627 TRUE 2 "D" "D"
"DE" "66" 676 TRUE 2 "D" "E"
"DD" "35" 593 TRUE 2 "D" "D"
"EE" "47" 602 TRUE 2 "E" "E"
"DE" "68" 642 TRUE 2 "D" "E"
"EE" "15" 502 TRUE 2 "E" "E"
"DD" "29" 608 TRUE 2 "D" "D"
"DD" "40" 643 TRUE 2 "D" "D"
"EE" "52" 699 TRUE 2 "E" "E"
"ED" "14" 468 TRUE 2 "E" "D"
"ED" "97" 801 TRUE 2 "E" "D"
"DE" "10" 468 TRUE 2 "D" "E"
"DD" "39" 747 TRUE 2 "D" "D"
"DE" "70" 642 TRUE 2 "D" "E"
"EE" "14" 605 TRUE 2 "E" "E"
"DD" "10" 500 TRUE 2 "D" "D"
"DE" "61" 643 TRUE 2 "D" "E"
"ED" "89" 619 TRUE 2 "E" "D"
"EE" "45" 660 TRUE 2 "E" "E"
"DD" "19" 996 TRUE 2 "D" "D"
"EE" "2" 572 TRUE 2 "E" "E"
"EE" "8" 645 TRUE 2 "E" "E"
"DD" "27" 708 TRUE 2 "D" "D"
"DE" "67" 594 TRUE 2 "D" "E"
"EE" "49" 661 TRUE 2 "E" "E"
"DD" "24" 738 TRUE 2 "D" "D"
"DD" "15" 439 TRUE 2 "D" "D"
"EE" "1" 663 TRUE 2 "E" "E"
"DD" "14" 429 TRUE 2 "D" "D"
"DE" "19" 1000 FALSE 2 "D" "E"
"ED" "86" 598 TRUE 2 "E" "D"
"DE" "8" 517 TRUE 2 "D" "E"
"EE" "20" 458 TRUE 2 "E" "E"
"EE" "56" 810 TRUE 2 "E" "E"
"DE" "64" 730 TRUE 2 "D" "E"
"EE" "4" 454 TRUE 2 "E" "E"
"DE" "15" 413 TRUE 2 "D" "E"
"ED" "92" 658 TRUE 2 "E" "D"
"DE" "17" 493 TRUE 2 "D" "E"
"DE" "4" 471 TRUE 2 "D" "E"
"ED" "88" 641 TRUE 2 "E" "D"
"ED" "95" 663 TRUE 2 "E" "D"
"EE" "50" 627 TRUE 2 "E" "E"
"ED" "13" 446 TRUE 2 "E" "D"
"DE" "7" 398 TRUE 2 "D" "E"
"DD" "23" 553 TRUE 2 "D" "D"
"DD" "20" 420 TRUE 2 "D" "D"
"EE" "13" 556 TRUE 2 "E" "E"
"EE" "12" 420 TRUE 2 "E" "E"
"DD" "25" 628 TRUE 2 "D" "D"
"ED" "10" 428 TRUE 2 "E" "D"
"DE" "14" 524 TRUE 2 "D" "E"
"ED" "19" 498 TRUE 2 "E" "D"
"ED" "20" 387 TRUE 2 "E" "D"
"DD" "12" 446 TRUE 2 "D" "D"
"EE" "9" 462 TRUE 2 "E" "E"
"DD" "1" 445 TRUE 2 "D" "D"
"DD" "18" 404 TRUE 2 "D" "D"
"EE" "17" 522 TRUE 2 "E" "E"
"DD" "8" 563 TRUE 2 "D" "D"
"DD" "26" 683 TRUE 2 "D" "D"
"EE" "11" 509 TRUE 2 "E" "E"
"DD" "4" 395 TRUE 2 "D" "D"
"EE" "3" 387 TRUE 2 "E" "E"
"DE" "79" 626 TRUE 2 "D" "E"
"DD" "36" 683 TRUE 2 "D" "D"
"DE" "63" 956 TRUE 2 "D" "E"
"DE" "74" 660 TRUE 2 "D" "E"
"DD" "33" 570 TRUE 2 "D" "D"
"DD" "37" 583 TRUE 2 "D" "D"
"ED" "9" 484 TRUE 2 "E" "D"
"ED" "83" 586 TRUE 2 "E" "D"
"EE" "55" 722 TRUE 2 "E" "E"
"ED" "93" 650 TRUE 2 "E" "D"
"ED" "90" 677 TRUE 2 "E" "D"
"EE" "18" 572 TRUE 2 "E" "E"
"ED" "81" 603 TRUE 2 "E" "D"
"DD" "7" 686 TRUE 2 "D" "D"
"ED" "17" 475 TRUE 2 "E" "D"
"DD" "28" 587 TRUE 2 "D" "D"
"DD" "21" 638 TRUE 2 "D" "D"
"DE" "78" 551 TRUE 2 "D" "E"
"DE" "16" 477 FALSE 2 "D" "E"
"DD" "31" 548 TRUE 2 "D" "D"
"ED" "3" 438 TRUE 2 "E" "D"
"EE" "46" 624 TRUE 2 "E" "E"
"DE" "73" 524 TRUE 2 "D" "E"
"DD" "2" 436 TRUE 2 "D" "D"
"EE" "7" 445 TRUE 2 "E" "E"
"ED" "85" 602 TRUE 2 "E" "D"
"DD" "6" 422 TRUE 2 "D" "D"
"DD" "30" 586 TRUE 2 "D" "D"
"EE" "16" 605 FALSE 2 "E" "E"
"DD" "34" 641 TRUE 2 "D" "D"
"EE" "51" 755 TRUE 2 "E" "E"
"ED" "87" 628 TRUE 2 "E" "D"
"DE" "2" 565 TRUE 2 "D" "E"
"ED" "91" 642 TRUE 2 "E" "D"
"ED" "94" 1000 FALSE 2 "E" "D"
"ED" "1" 504 TRUE 2 "E" "D"
"DD" "16" 595 TRUE 2 "D" "D"
"EE" "42" 633 TRUE 2 "E" "E"
"DE" "3" 524 TRUE 2 "D" "E"
"DD" "13" 531 TRUE 2 "D" "D"
"ED" "12" 390 TRUE 2 "E" "D"
"ED" "82" 555 TRUE 2 "E" "D"
"DE" "1" 556 TRUE 2 "D" "E"
"ED" "98" 641 TRUE 2 "E" "D"
"DE" "75" 769 TRUE 2 "D" "E"
"EE" "19" 571 TRUE 2 "E" "E"
"ED" "99" 545 TRUE 2 "E" "D"
"ED" "100" 587 TRUE 2 "E" "D"
"DD" "22" 515 TRUE 2 "D" "D"
"ED" "5" 492 TRUE 2 "E" "D"
"ED" "96" 633 TRUE 2 "E" "D"
"DE" "69" 531 TRUE 2 "D" "E"
"ED" "11" 470 TRUE 2 "E" "D"
"ED" "15" 443 TRUE 2 "E" "D"
"DE" "12" 470 TRUE 2 "D" "E"
"DD" "38" 513 TRUE 2 "D" "D"
"ED" "18" 453 TRUE 2 "E" "D"
"ED" "92" 748 TRUE 3 "E" "D"
"ED" "17" 503 TRUE 3 "E" "D"
"ED" "10" 522 TRUE 3 "E" "D"
"DE" "61" 651 TRUE 3 "D" "E"
"ED" "2" 537 TRUE 3 "E" "D"
"EE" "59" 840 TRUE 3 "E" "E"
"DD" "15" 552 TRUE 3 "D" "D"
"ED" "18" 522 TRUE 3 "E" "D"
"DE" "15" 952 TRUE 3 "D" "E"
"EE" "55" 703 TRUE 3 "E" "E"
"ED" "99" 551 FALSE 3 "E" "D"
"DE" "76" 1000 FALSE 3 "D" "E"
"DE" "2" 682 TRUE 3 "D" "E"
"DD" "24" 1000 FALSE 3 "D" "D"
"EE" "4" 662 TRUE 3 "E" "E"
"EE" "51" 939 TRUE 3 "E" "E"
"ED" "95" 840 TRUE 3 "E" "D"
"DD" "5" 535 TRUE 3 "D" "D"
"EE" "18" 632 TRUE 3 "E" "E"
"ED" "14" 566 TRUE 3 "E" "D"
"DD" "11" 566 TRUE 3 "D" "D"
"EE" "56" 1000 FALSE 3 "E" "E"
"ED" "88" 791 TRUE 3 "E" "D"
"DD" "29" 706 TRUE 3 "D" "D"
"EE" "49" 1000 FALSE 3 "E" "E"
"DE" "75" 855 TRUE 3 "D" "E"
"DE" "7" 895 TRUE 3 "D" "E"
"DD" "23" 912 TRUE 3 "D" "D"
"ED" "91" 784 TRUE 3 "E" "D"
"DD" "35" 725 TRUE 3 "D" "D"
"DD" "30" 710 TRUE 3 "D" "D"
"DD" "27" 801 TRUE 3 "D" "D"
"DE" "64" 935 TRUE 3 "D" "E"
"DE" "69" 884 TRUE 3 "D" "E"
"DD" "1" 511 TRUE 3 "D" "D"
"DE" "80" 692 TRUE 3 "D" "E"
"DD" "39" 729 TRUE 3 "D" "D"
"DE" "73" 741 TRUE 3 "D" "E"
"EE" "14" 615 TRUE 3 "E" "E"
"DD" "7" 763 TRUE 3 "D" "D"
"DE" "12" 545 TRUE 3 "D" "E"
"DE" "66" 714 TRUE 3 "D" "E"
"EE" "5" 592 TRUE 3 "E" "E"
"ED" "1" 493 TRUE 3 "E" "D"
"EE" "17" 511 TRUE 3 "E" "E"
"DD" "2" 481 TRUE 3 "D" "D"
"DE" "70" 842 TRUE 3 "D" "E"
"EE" "13" 594 TRUE 3 "E" "E"
"EE" "10" 530 TRUE 3 "E" "E"
"DD" "18" 465 TRUE 3 "D" "D"
"DE" "4" 501 TRUE 3 "D" "E"
"EE" "50" 844 TRUE 3 "E" "E"
"EE" "9" 541 TRUE 3 "E" "E"
"DD" "20" 529 TRUE 3 "D" "D"
"DE" "71" 740 TRUE 3 "D" "E"
"DE" "14" 513 TRUE 3 "D" "E"
"DD" "13" 530 TRUE 3 "D" "D"
"ED" "19" 578 TRUE 3 "E" "D"
"DD" "16" 456 TRUE 3 "D" "D"
"EE" "19" 730 FALSE 3 "E" "E"
"DE" "74" 667 TRUE 3 "D" "E"
"EE" "52" 978 TRUE 3 "E" "E"
"EE" "44" 737 TRUE 3 "E" "E"
"DD" "40" 706 TRUE 3 "D" "D"
"DD" "17" 432 TRUE 3 "D" "D"
"EE" "41" 668 TRUE 3 "E" "E"
"DD" "32" 574 TRUE 3 "D" "D"
"DD" "21" 620 TRUE 3 "D" "D"
"EE" "8" 762 TRUE 3 "E" "E"
"ED" "93" 766 TRUE 3 "E" "D"
"EE" "16" 547 TRUE 3 "E" "E"
"EE" "11" 427 TRUE 3 "E" "E"
"DD" "25" 722 TRUE 3 "D" "D"
"EE" "43" 657 FALSE 3 "E" "E"
"EE" "54" 822 FALSE 3 "E" "E"
"ED" "11" 411 TRUE 3 "E" "D"
"ED" "3" 554 TRUE 3 "E" "D"
"EE" "60" 796 TRUE 3 "E" "E"
"EE" "46" 664 TRUE 3 "E" "E"
"ED" "96" 742 TRUE 3 "E" "D"
"ED" "94" 770 TRUE 3 "E" "D"
"DD" "6" 438 TRUE 3 "D" "D"
"ED" "15" 423 TRUE 3 "E" "D"
"ED" "20" 466 TRUE 3 "E" "D"
"DD" "31" 517 TRUE 3 "D" "D"
"DD" "22" 610 TRUE 3 "D" "D"
"EE" "7" 436 TRUE 3 "E" "E"
"EE" "53" 600 TRUE 3 "E" "E"
"ED" "100" 683 TRUE 3 "E" "D"
"EE" "12" 451 TRUE 3 "E" "E"
"DD" "8" 508 TRUE 3 "D" "D"
"ED" "16" 508 TRUE 3 "E" "D"
"ED" "84" 595 TRUE 3 "E" "D"
"EE" "20" 577 TRUE 3 "E" "E"
"EE" "3" 420 TRUE 3 "E" "E"
"DE" "63" 742 TRUE 3 "D" "E"
"EE" "48" 713 TRUE 3 "E" "E"
"ED" "7" 555 TRUE 3 "E" "D"
"DD" "19" 628 TRUE 3 "D" "D"
"DE" "68" 685 TRUE 3 "D" "E"
"DE" "77" 667 TRUE 3 "D" "E"
"DE" "16" 450 TRUE 3 "D" "E"
"DD" "26" 678 TRUE 3 "D" "D"
"DE" "11" 451 TRUE 3 "D" "E"
"DE" "67" 544 TRUE 3 "D" "E"
"ED" "87" 691 TRUE 3 "E" "D"
"DE" "8" 531 TRUE 3 "D" "E"
"DD" "12" 396 TRUE 3 "D" "D"
"DE" "9" 591 TRUE 3 "D" "E"
"ED" "12" 436 TRUE 3 "E" "D"
"DE" "20" 570 TRUE 3 "D" "E"
"DE" "10" 515 TRUE 3 "D" "E"
"DD" "4" 426 TRUE 3 "D" "D"
"DD" "33" 522 TRUE 3 "D" "D"
"DE" "18" 694 TRUE 3 "D" "E"
"DE" "5" 471 TRUE 3 "D" "E"
"DE" "72" 517 FALSE 3 "D" "E"
"EE" "45" 653 TRUE 3 "E" "E"
"ED" "13" 539 TRUE 3 "E" "D"
"EE" "47" 620 TRUE 3 "E" "E"
"ED" "9" 495 TRUE 3 "E" "D"
"DD" "28" 626 TRUE 3 "D" "D"
"EE" "58" 591 TRUE 3 "E" "E"
"DD" "34" 600 TRUE 3 "D" "D"
"DD" "9" 460 TRUE 3 "D" "D"
"DE" "62" 555 TRUE 3 "D" "E"
"DE" "17" 519 TRUE 3 "D" "E"
"DE" "78" 884 TRUE 3 "D" "E"
"ED" "86" 763 TRUE 3 "E" "D"
"DE" "65" 754 TRUE 3 "D" "E"
"ED" "6" 514 TRUE 3 "E" "D"
"ED" "83" 698 TRUE 3 "E" "D"
"ED" "81" 619 TRUE 3 "E" "D"
"EE" "2" 468 TRUE 3 "E" "E"
"DD" "3" 408 TRUE 3 "D" "D"
"ED" "97" 537 FALSE 3 "E" "D"
"EE" "42" 654 TRUE 3 "E" "E"
"DD" "14" 560 TRUE 3 "D" "D"
"DE" "1" 702 TRUE 3 "D" "E"
"ED" "5" 554 TRUE 3 "E" "D"
"DE" "19" 756 FALSE 3 "D" "E"
"ED" "89" 770 TRUE 3 "E" "D"
"DD" "37" 754 TRUE 3 "D" "D"
"EE" "15" 570 TRUE 3 "E" "E"
"ED" "8" 491 TRUE 3 "E" "D"
"DE" "13" 644 TRUE 3 "D" "E"
"DD" "10" 419 TRUE 3 "D" "D"
"ED" "98" 985 TRUE 3 "E" "D"
"DD" "38" 713 TRUE 3 "D" "D"
"ED" "90" 1000 FALSE 3 "E" "D"
"DE" "3" 532 TRUE 3 "D" "E"
"DE" "6" 682 TRUE 3 "D" "E"
"ED" "82" 670 TRUE 3 "E" "D"
"ED" "85" 1000 FALSE 3 "E" "D"
"DD" "36" 788 FALSE 3 "D" "D"
"ED" "4" 501 TRUE 3 "E" "D"
"EE" "57" 693 TRUE 3 "E" "E"
"EE" "1" 469 TRUE 3 "E" "E"
"DE" "79" 636 TRUE 3 "D" "E"
"EE" "6" 456 TRUE 3 "E" "E"
"EE" "46" 1000 FALSE 4 "E" "E"
"DD" "22" 607 TRUE 4 "D" "D"
"ED" "95" 802 TRUE 4 "E" "D"
"DD" "30" 789 TRUE 4 "D" "D"
"ED" "15" 697 TRUE 4 "E" "D"
"EE" "56" 851 FALSE 4 "E" "E"
"DE" "16" 627 FALSE 4 "D" "E"
"ED" "10" 1000 FALSE 4 "E" "D"
"ED" "82" 668 TRUE 4 "E" "D"
"EE" "47" 997 FALSE 4 "E" "E"
"DE" "73" 1000 FALSE 4 "D" "E"
"DD" "17" 819 TRUE 4 "D" "D"
"DE" "11" 676 FALSE 4 "D" "E"
"EE" "8" 951 TRUE 4 "E" "E"
"EE" "19" 868 TRUE 4 "E" "E"
"ED" "88" 685 TRUE 4 "E" "D"
"DD" "19" 1000 FALSE 4 "D" "D"
"ED" "81" 849 TRUE 4 "E" "D"
"DE" "67" 721 TRUE 4 "D" "E"
"DE" "15" 824 TRUE 4 "D" "E"
"ED" "87" 618 TRUE 4 "E" "D"
"DE" "9" 853 TRUE 4 "D" "E"
"ED" "89" 694 FALSE 4 "E" "D"
"DE" "8" 625 TRUE 4 "D" "E"
"DD" "23" 852 TRUE 4 "D" "D"
"EE" "5" 751 FALSE 4 "E" "E"
"EE" "4" 618 TRUE 4 "E" "E"
"DD" "9" 633 TRUE 4 "D" "D"
"ED" "100" 741 TRUE 4 "E" "D"
"DD" "18" 703 TRUE 4 "D" "D"
"EE" "11" 548 TRUE 4 "E" "E"
"ED" "6" 567 TRUE 4 "E" "D"
"ED" "85" 630 TRUE 4 "E" "D"
"DE" "70" 646 TRUE 4 "D" "E"
"ED" "3" 730 TRUE 4 "E" "D"
"DE" "69" 663 TRUE 4 "D" "E"
"ED" "86" 577 TRUE 4 "E" "D"
"EE" "14" 712 TRUE 4 "E" "E"
"ED" "9" 807 TRUE 4 "E" "D"
"EE" "43" 773 TRUE 4 "E" "E"
"ED" "2" 816 FALSE 4 "E" "D"
"ED" "12" 519 FALSE 4 "E" "D"
"DD" "25" 630 TRUE 4 "D" "D"
"DE" "4" 715 TRUE 4 "D" "E"
"DD" "10" 591 TRUE 4 "D" "D"
"EE" "55" 748 TRUE 4 "E" "E"
"DD" "33" 685 TRUE 4 "D" "D"
"ED" "17" 967 FALSE 4 "E" "D"
"EE" "41" 718 TRUE 4 "E" "E"
"EE" "45" 687 TRUE 4 "E" "E"
"DD" "14" 799 TRUE 4 "D" "D"
"DD" "27" 872 TRUE 4 "D" "D"
"DE" "74" 871 TRUE 4 "D" "E"
"DD" "5" 682 TRUE 4 "D" "D"
"ED" "99" 632 TRUE 4 "E" "D"
"ED" "1" 627 TRUE 4 "E" "D"
"DD" "7" 566 TRUE 4 "D" "D"
"DD" "31" 540 TRUE 4 "D" "D"
"DE" "3" 663 TRUE 4 "D" "E"
"DD" "20" 527 TRUE 4 "D" "D"
"EE" "7" 470 TRUE 4 "E" "E"
"DD" "6" 580 TRUE 4 "D" "D"
"EE" "44" 819 TRUE 4 "E" "E"
"DE" "13" 777 TRUE 4 "D" "E"
"ED" "20" 471 TRUE 4 "E" "D"
"EE" "51" 653 TRUE 4 "E" "E"
"DE" "12" 738 TRUE 4 "D" "E"
"ED" "7" 495 TRUE 4 "E" "D"
"EE" "6" 647 TRUE 4 "E" "E"
"ED" "84" 669 TRUE 4 "E" "D"
"EE" "58" 621 TRUE 4 "E" "E"
"EE" "16" 628 TRUE 4 "E" "E"
"DE" "79" 623 TRUE 4 "D" "E"
"DE" "64" 860 TRUE 4 "D" "E"
"EE" "1" 459 TRUE 4 "E" "E"
"EE" "10" 453 TRUE 4 "E" "E"
"DD" "3" 397 TRUE 4 "D" "D"
"ED" "14" 442 TRUE 4 "E" "D"
"DD" "32" 581 TRUE 4 "D" "D"
"DD" "37" 620 TRUE 4 "D" "D"
"DD" "11" 741 TRUE 4 "D" "D"
"EE" "59" 563 TRUE 4 "E" "E"
"ED" "19" 585 TRUE 4 "E" "D"
"EE" "18" 679 TRUE 4 "E" "E"
"DE" "14" 599 TRUE 4 "D" "E"
"ED" "98" 781 TRUE 4 "E" "D"
"DD" "16" 456 TRUE 4 "D" "D"
"ED" "96" 781 TRUE 4 "E" "D"
"DE" "18" 683 TRUE 4 "D" "E"
"ED" "11" 440 TRUE 4 "E" "D"
"EE" "12" 424 TRUE 4 "E" "E"
"EE" "3" 425 TRUE 4 "E" "E"
"DD" "4" 344 TRUE 4 "D" "D"
"DE" "61" 556 TRUE 4 "D" "E"
"ED" "18" 435 TRUE 4 "E" "D"
"DD" "36" 664 TRUE 4 "D" "D"
"DE" "77" 911 TRUE 4 "D" "E"
"DD" "35" 519 TRUE 4 "D" "D"
"DD" "24" 632 TRUE 4 "D" "D"
